SOURCE	TARGET	COUNT	BASE
א-בינארי	אבינארי	6	0
הא-בינארי	האבינארי	1	6
לא-בינארי	לאבינארי	1	6
א-בינארית	אבינארית	2	0
א-בינארים	אבינארים	2	0
א-בינאריים	אבינאריים	2	0
אונרי	אונארי	5	0
אונרית	אונארית	1	0
שהאונרית	שהאונארית	1	0
אונריות	אונאריות	2	0
אוקייני	אוקיאני	4	0
האוקייני	האוקיאני	2	4
האוקיינית	האוקיאנית	2	0
האוקייניות	האוקיאניות	1	0
האורלי	האוראלי	5	0
האורלית	האוראלית	2	0
האורליים	האוראליים	2	0
האורליות	האוראליות	6	0
אידאלי	אידיאלי	7	0
האידאלי	האידיאלי	6	7
שאידאלי	שאידיאלי	1	7
שהאידאלי	שהאידיאלי	2	7
אידאלית	אידיאלית	2	0
שאידאלית	שאידיאלית	1	2
אידאלים	אידיאלים	7	0
האידאלים	האידיאלים	5	7
ואידאלים	ואידיאלים	2	7
לאידאלים	לאידיאלים	1	7
האידאליים	האידיאליים	1	0
אידאליסטים	אידיאליסטים	1	0
אירני	איראני	33	0
האירני	האיראני	412	0
להאירני	להאיראני	1	412
אירנית	איראנית	18	0
האירנית	האיראנית	104	0
אירנים	איראנים	7	0
באירנים	באיראנים	1	7
האירנים	האיראנים	66	7
ואירנים	ואיראנים	1	7
לאירנים	לאיראנים	13	7
שאירנים	שאיראנים	1	7
והאירנים	והאיראנים	3	7
שהאירנים	שהאיראנים	10	7
מהאירנים	מהאיראנים	3	7
אירניים	איראניים	4	0
האירניים	האיראניים	2	4
אירניות	איראניות	6	0
האירניות	האיראניות	4	6
אלמנטארית	אלמנטרית	1	0
אמפטי	אמפתי	54	0
אמפטית	אמפתית	14	0
האמפטית	האמפתית	24	0
אמפטים	אמפתים	1	0
אמפטיים	אמפתיים	12	0
האמפטיים	האמפתיים	1	12
ואמפטיים	ואמפתיים	4	12
אמפטיות	אמפתיות	2	0
האמפטיות	האמפתיות	3	2
ואמפטיות	ואמפתיות	1	2
אנלית	אנאלית	18	0
האנלית	האנאלית	1	0
אנלים	אנאלים	2	0
אנליים	אנאליים	3	0
אנליות	אנאליות	3	0
מהאנליות	מהאנאליות	1	0
אסיאתי	אסייתי	37	0
האסיאתי	האסייתי	6	37
ואסיאתי	ואסייתי	2	37
אסיאתית	אסייתית	5	0
האסיאתית	האסייתית	1	5
והאסיאתית	והאסייתית	1	5
אסיאתים	אסייתים	18	0
והאסיאתים	והאסייתים	1	18
ואסיאתיים	ואסייתיים	2	0
א-פוליטי	אפוליטי	86	0
הא-פוליטי	האפוליטי	2	86
וא-פוליטי	ואפוליטי	1	86
לא-פוליטי	לאפוליטי	1	86
א-פוליטית	אפוליטית	34	0
הא-פוליטית	האפוליטית	2	34
וא-פוליטית	ואפוליטית	2	34
א-פוליטיים	אפוליטיים	21	0
לא-פוליטיים	לאפוליטיים	1	21
א-פוליטיות	אפוליטיות	10	0
הא-פוליטיות	האפוליטיות	2	10
וא-פוליטיות	ואפוליטיות	1	10
א-פריורי	אפריורי	3	0
א-פריורית	אפריורית	2	0
אקוודורי	אקואדורי	1	0
אריתריאי	אריתראי	26	0
האריתריאי	האריתראי	8	26
אריתריאית	אריתראית	14	0
האריתריאית	האריתראית	5	14
אריתריאים	אריתראים	93	0
